Project Name,Project URL,Commit Hash,Number of commits,Number of contributors,Number of Python files,Number of IPynb files,Number of lines of pure Python,Number of lines of IPynb Python,Has requirements.txt file,Total Pylint messages,convention,refactor,warning,error,fatal,import-pandas,import-numpy,import-pyplot,import-sklearn,import-tensorflow,import-pytorch,unnecessary-iteration-pandas,dataframe-iteration-modification-pandas,unnecessary-iteration-tensorflow,nan-numpy,chain-indexing-pandas,datatype-pandas,column-selection-pandas,merge-parameter-pandas,inplace-pandas,dataframe-conversion-pandas,scaler-missing-scikitlearn,hyperparameters-scikitlearn,hyperparameters-tensorflow,hyperparameters-pytorch,memory-release-tensorflow,deterministic-pytorch,randomness-control-numpy,randomness-control-scikitlearn,randomness-control-tensorflow,randomness-control-pytorch,randomness-control-dataloader-pytorch,missing-mask-tensorflow,missing-mask-pytorch,tensor-array-tensorflow,forward-pytorch,gradient-clear-pytorch,pipeline-not-used-scikitlearn,dependent-threshold-scikitlearn,dependent-threshold-tensorflow,dependent-thrld-pytorch
uTensor,https://github.com/uTensor/uTensor,d486d0be89ee98762d4e84b7614a30902413fdb5,1026,19,21,0,2382,0,FALSE,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
open-solution-data-science-bowl-2018,https://github.com/minerva-ml/open-solution-data-science-bowl-2018,f5ab0b0d0aaece94688122ea402c943edaf71ffd,121,9,33,0,6236,0,TRUE,14,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
datastories-semeval2017-task4,https://github.com/cbaziotis/datastories-semeval2017-task4,faeee5fd1c2cf38e32179a4676dff53ae01adfa8,18,2,18,0,1492,0,TRUE,12,10,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNN_Tensorflow,https://github.com/MaybeShewill-CV/CRNN_Tensorflow,a25e365cb49bf9de7ab83bc38c5b2acc0ea07474,276,12,22,0,3811,0,TRUE,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
deepvoice3_pytorch,https://github.com/r9y9/deepvoice3_pytorch,a5c24624bad314db5a5dcb0ea320fc3623a94f15,219,15,44,0,7952,0,TRUE,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0
scipy_2015_sklearn_tutorial,https://github.com/amueller/scipy_2015_sklearn_tutorial,be0a35724b9f0f0b92ea6c325ad5137176585b1c,175,6,21,25,946,1248,TRUE,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCNN-Tensorflow,https://github.com/AITTSMD/MTCNN-Tensorflow,3b3934d38f8d34287cc933a581537a1acfd0bb60,25,6,38,1,4527,98,FALSE,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0
self_drive,https://github.com/Timthony/self_drive,c0fc65fd3df70dc099a1fdff6d538283525b247a,39,2,8,0,1002,0,FALSE,8,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
scalable_agent,https://github.com/deepmind/scalable_agent,6c0c8a701990fab9053fb338ede9c915c18fa2b1,24,4,9,0,2779,0,FALSE,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
ramp,https://github.com/kvh/ramp,8618ce673e49b95f40c9659319c3cb72281dacac,181,7,42,0,6055,0,TRUE,7,3,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
handwriting-generation,https://github.com/Grzego/handwriting-generation,26a618b647e3a0ae195f9bf84370e9d091caf5ad,13,2,5,0,750,0,FALSE,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0
sequence_gan,https://github.com/ofirnachum/sequence_gan,6f0feffb0b0439563886d025a11bc747c961d962,16,6,4,0,618,0,FALSE,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,00397d411f3421ee6348fb2b950394c9118fbeda,6029,18,468,0,107378,0,TRUE,5,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
text-classification-cnn-rnn,https://github.com/gaussic/text-classification-cnn-rnn,90dd55cccacac663e87445ed356bf59307864168,59,4,9,0,801,0,TRUE,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
GraphGAN,https://github.com/hwwang55/GraphGAN,3f1c3f7db6b8b5102eea899659d4c52f64c4288c,120,9,8,0,601,0,FALSE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
attention-over-attention,https://github.com/OlavHN/attention-over-attention,dc7694e2816b30b9588da433a53838cbf0378b84,4,1,3,0,287,0,FALSE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
pydlt,https://github.com/dmarnerides/pydlt,b018f75b68af29645d0a5dae10b6d7255e53f867,158,1,45,0,4521,0,TRUE,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mozi,https://github.com/hycis/Mozi,7f2eccbe3169c10d231e07edf8bc650039fa4eb2,297,7,49,0,4956,0,TRUE,4,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sparkit-learn,https://github.com/lensacom/sparkit-learn,0498502107c1f7dcf33cda0cdb6f5ba4b42524b7,293,15,62,0,6419,0,TRUE,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
chatbot-rnn,https://github.com/pender/chatbot-rnn,82cbb710beaf15da11b60e03f00bdbfd521df754,19,2,5,0,1246,0,FALSE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
poeai,https://github.com/nicholastoddsmith/poeai,e95add37348f402b7e42f0e978b6af466dc0b055,7,1,8,0,1435,0,FALSE,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
char-rnn-cn,https://github.com/leido/char-rnn-cn,7ea987ccce46b2b2b712c751e3059b8dd287b272,16,4,2,0,362,0,FALSE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
pcam,https://github.com/basveeling/pcam,6370e489b10c5f0f7e389e9bfc9772a36db2a5a0,12,3,3,0,69,0,FALSE,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wordbatch,https://github.com/anttttti/Wordbatch,82c1cbec04f1848b4efe58f4a05d2c650721114c,96,6,25,0,2329,0,TRUE,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SpikeFlow,https://github.com/deeperic/SpikeFlow,ffff4f5c479da717d542e36c568169f248c71461,10,1,9,0,1356,0,FALSE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
R-net,https://github.com/NLPLearn/R-net,a5721684dc0ae088ae806f12d8d5a974a1fc0b90,21,7,9,0,1646,0,TRUE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
own_data_cnn_implementation_keras,https://github.com/anujshah1003/own_data_cnn_implementation_keras,a7ba8603dd8544d20168e182c096276044b49b32,19,1,2,0,831,0,FALSE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adversarial_Video_Generation,https://github.com/dyelax/Adversarial_Video_Generation,458cef18dca1b5d13bee10f5ae39b85d602698f3,42,1,11,0,2108,0,FALSE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
nupic.studio,https://github.com/htm-community/nupic.studio,8ac65e6784038995b6535be510aabd5406cc8aa8,72,6,33,0,7222,0,TRUE,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caffe-Python-Tutorial,https://github.com/tostq/Caffe-Python-Tutorial,5e5b98a878395e7f795ecab176c1919a3208ecd8,2,1,8,0,1189,0,FALSE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BEGAN,https://github.com/artcg/BEGAN,d6992dabca55f1d4c92161f9cd4dcc7722a8bbf5,52,3,8,0,689,0,FALSE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
bat-country,https://github.com/jrosebr1/bat-country,894af13bd777ab8aa989baf520db074b97cfad9a,27,2,7,0,378,0,TRUE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
qlearning4k,https://github.com/farizrahman4u/qlearning4k,8d7e54e97c00e0e066567adf8246e94e125b35ae,96,7,10,0,563,0,TRUE,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFCN-tensorflow,https://github.com/xdever/RFCN-tensorflow,948f5fc79cfcb542ada593bb2ea4b86bb08d5e5c,29,2,38,0,3876,0,FALSE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
painters,https://github.com/inejc/painters,b8d2b3518c16a4d3e6fb3cdd825566f6eeaf5fda,17,4,8,0,1030,0,TRUE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
easy-tf-log,https://github.com/mrahtz/easy-tf-log,efee1d42a1ec56dd9f7abe2e5025bb0a499ffb96,50,3,4,0,366,0,TRUE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
YOLOv3-tensorflow,https://github.com/maiminh1996/YOLOv3-tensorflow,f8c197295afa3ec8006ed01e62cb708fe1a14d87,121,3,21,0,2435,0,FALSE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
D-GEX,https://github.com/uci-cbcl/D-GEX,384b2e705f34d91f66644f24043d271b6579bf9a,44,2,18,0,1606,0,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha_zero_othello,https://github.com/bhansconnect/alpha_zero_othello,f342820bdbc9d9a7d8e99fcd3803af2527294fde,91,2,19,0,1352,0,TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deeplearning4nlp-tutorial,https://github.com/UKPLab/deeplearning4nlp-tutorial,2a36ecc39f13b683752483546441468fd7d734b3,157,5,56,16,8230,1658,FALSE,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep-ctr,https://github.com/wnzhang/deep-ctr,229ad52cb97bc213012ba596b451990dcca6b897,13,3,8,0,2341,0,FALSE,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
innvestigate,https://github.com/albermax/innvestigate,db8a58e6a6d54d1a25618fe653954166782e891c,943,23,65,8,12212,1661,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FirstContactWithTensorFlow,https://github.com/jorditorresBCN/FirstContactWithTensorFlow,03e143c1af88a1271ea085d2141970cddbc0142c,68,1,11,0,784,0,FALSE,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deblur-gan,https://github.com/RaphaelMeudec/deblur-gan,8b4b15d36124c4bc7208a97a7e65026206dcf7d6,42,8,11,0,631,0,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
visual-analogy-tensorflow,https://github.com/carpedm20/visual-analogy-tensorflow,25829caf483b41c577f07386cd425819298f16a9,46,1,8,0,694,0,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nn-iterated-projections,https://github.com/jn2clark/nn-iterated-projections,5049fd1bd29ba2dbc6b79d581011df2fae8ed7f8,30,2,2,0,1052,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hdDeepLearningStudy,https://github.com/mike-bowles/hdDeepLearningStudy,36d6908b5bf878b3e30be16cdca90f01b071ab9f,323,4,2,2,355,123,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeepHeart,https://github.com/jisaacso/DeepHeart,fbe67af7db39a0854176c6a0acebf79a4a1b4808,11,1,4,0,521,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neural-network-genetic-algorithm,https://github.com/harvitronix/neural-network-genetic-algorithm,66ce11abbf5b3d9bac0d39723db8eb1ae856373f,25,3,5,0,570,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enet-keras,https://github.com/PavlosMelissinos/enet-keras,95ce39474b4b95521b64d176dfb7455d57716fde,100,4,37,0,4191,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coursera-ml-py,https://github.com/nsoojin/coursera-ml-py,2c651f8cdb3a93f4b317cd48b83b500be26baf71,13,1,71,0,3280,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeepSpell,https://github.com/MajorTal/DeepSpell,26f595ec748f18e4420f2dba36047f812305169c,10,2,1,0,585,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnet-ts,https://github.com/josejimenezluna/nnet-ts,3b907490e66d5318024a245682e8e577a6da6bab,15,4,4,0,101,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tdigest,https://github.com/CamDavidsonPilon/tdigest,bf90fb1b4ac74d558a5335d7f5e203f5d33cad2d,119,15,6,0,695,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple-neural-network,https://github.com/miloharper/simple-neural-network,944e77e139d29e570d2cca71c82ffd2fd02e4989,9,2,2,0,83,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
words2map,https://github.com/overlap-ai/words2map,25705a7d655853ab254e4f4218186eb65b58d3f1,108,4,1,0,305,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cnn-rtlsdr,https://github.com/randaller/cnn-rtlsdr,75ff7d33c84cd156745c42d98b472c71ba49059b,67,2,6,0,821,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaterNet,https://github.com/treigerm/WaterNet,5f30e796b03519b1d79be2ac1f148b873bf9e877,55,2,8,0,984,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
